dateIpo,ticker,ipoPrice
2019-05-08,PSN,27.0
2019-05-07,TRVI,10.0
2019-05-07,LCA,10.0
2019-05-06,TBBA,10.0
2019-05-03,ATIF,5.0
2019-05-03,SCPL,16.0
2019-05-03,YJ,11.0
2019-05-03,RRBI,45.0
2019-05-02,SY,13.8
2019-05-02,TMDX,16.0
2019-05-02,BYND,25.0
2019-04-30,WAFU,5.0
2019-04-18,PINS,19.0
2019-04-18,HOOK,14.0
2019-04-18,ZM,36.0
2019-04-18,GNLN,17.0
2019-04-18,MNRL,18.0
2019-04-17,PLMR,15.0
